Entity,Day,Training computation (petaFLOP),Number of parameters,Researcher affiliation,Number of parameters (Original Day),Training computation (petaFLOP) (Original Day),,,,Number of parameters,Training computation (petaFLOP),,,,
Incoder-6.7B,2/17/2026,3000010.2,6700000000,Academia and industry collaboration,4/9/2023,4/9/2023,,,,6700000000,3000010.2,,,,
InstructBLIP,2/17/2026,194000,13000000000,Academia and industry collaboration,5/11/2023,5/11/2023,,,,13000000000,194000,,,,
InstructGPT 175B,2/17/2026,319181000,1.75E+11,Industry,1/27/2022,1/27/2022,,,,1.75E+11,319181000,,,,
InternImage,2/17/2026,2408000.2,1080000000,Academia and industry collaboration,11/10/2022,11/10/2022,,,,1080000000,2408000.2,,,,
InternLM,2/17/2026,998400000,1.04E+11,Academia and industry collaboration,7/6/2023,7/6/2023,,,,1.04E+11,998400000,,,,
Invariant CNN,2/17/2026,0.00097423,90575,Academia,6/27/2004,6/27/2004,,,,90575,0.00097423,,,,
JFT,2/17/2026,843000.06,44654504,Academia and industry collaboration,7/10/2017,7/10/2017,,,,44654504,843000.06,,,,
JPMAX,2/17/2026,8.08E-08,4446,Other,12/2/1994,12/2/1994,,,,4446,8.08E-08,,,,
Jais,2/17/2026,48946764,13000000000,Academia and industry collaboration,8/29/2023,8/29/2023,,,,13000000000,48946764,,,,
Jurassic-1-Jumbo,2/17/2026,370000000,1.78E+11,Industry,8/11/2021,8/11/2021,,,,1.78E+11,370000000,,,,
K-EXAONE,2/17/2026,1520000000,2.36E+11,Industry,12/31/2025,12/31/2025,,,,2.36E+11,1520000000,,,,
KEPLER,2/17/2026,1660000,125000000,Other,11/23/2020,11/23/2020,,,,125000000,1660000,,,,
KN-LM,2/17/2026,773.03815,21000000000,Industry,6/22/2007,6/22/2007,,,,21000000000,773.03815,,,,
KataGo,2/17/2026,23200.002,2500000,Industry,2/27/2019,2/27/2019,,,,2500000,23200.002,,,,
Kimi K2,2/17/2026,2976000000,1.00E+12,Industry,7/11/2025,7/11/2025,,,,1.00E+12,2976000000,,,,
Kimi K2 Thinking,2/17/2026,4200000000,1.00E+12,Industry,11/6/2025,11/6/2025,,,,1.00E+12,4200000000,,,,
Kimi K2.5,2/17/2026,5800000000,1.04E+12,Industry,2/2/2026,2/2/2026,,,,1.04E+12,5800000000,,,,
LCNP LabelMe,2/17/2026,3.2951503,13729792,Academia,11/22/2009,11/22/2009,,,,13729792,3.2951503,,,,
LCNP MNIST,2/17/2026,4.1818523,11616256,Other,11/22/2009,11/22/2009,,,,11616256,4.1818523,,,,
